curveIndex,static,x,y
0,0.0000,626.500,70.000
0,0.0000,626.500,69.500
0,0.0000,624.500,73.500
0,0.0000,615.500,85.000
0,0.0000,607.500,97.000
0,0.0000,600.000,103.500
0,0.0000,586.000,120.000
0,0.0000,574.000,138.000
0,0.0000,567.500,147.500
0,0.0000,562.500,154.500
0,0.0000,557.000,161.000
0,0.0000,553.500,165.000
0,0.0000,551.000,168.500
0,0.0000,550.000,170.000
1,0.0000,550.000,170.000
1,0.0000,550.000,170.500
1,0.0000,550.000,171.000
1,0.0000,550.000,172.500
1,0.0000,550.500,173.500
1,0.0000,551.000,176.000
1,0.0000,553.500,181.500
1,0.0000,558.000,189.000
1,0.0000,561.500,199.500
1,0.0000,565.000,208.500
1,0.0000,571.000,221.500
1,0.0000,576.000,235.500
1,0.0000,582.500,251.000
1,0.0000,588.500,268.000
1,0.0000,595.000,285.000
1,0.0000,598.500,294.000
1,0.0000,601.000,300.500
1,0.0000,601.500,303.500
1,0.0000,602.500,305.000
1,0.0000,603.500,306.500
2,0.0000,627.500,69.500
2,0.0000,627.500,69.000
2,0.0000,631.000,70.000
2,0.0000,638.500,72.500
2,0.0000,645.500,76.500
2,0.0000,650.000,78.500
2,0.0000,652.500,80.000
2,0.0000,655.000,81.500
2,0.0000,658.500,84.000
2,0.0000,659.500,85.000
2,0.0000,661.500,85.000
2,0.0000,664.000,86.500
2,0.0000,664.500,87.000
2,0.0000,665.500,88.500
2,0.0000,667.000,89.000
2,0.0000,668.500,89.500
2,0.0000,671.000,91.500
2,0.0000,673.000,92.000
2,0.0000,675.000,94.000
2,0.0000,676.000,95.000
2,0.0000,679.000,96.500
2,0.0000,680.500,98.000
2,0.0000,681.500,98.500
2,0.0000,685.000,101.000
2,0.0000,689.500,103.500
2,0.0000,691.500,105.000
2,0.0000,694.000,106.500
2,0.0000,698.500,109.000
2,0.0000,700.500,109.500
2,0.0000,705.000,113.000
2,0.0000,708.000,114.500
2,0.0000,711.500,116.500
2,0.0000,713.500,118.500
2,0.0000,716.000,120.000
2,0.0000,717.000,121.000
2,0.0000,719.000,121.500
2,0.0000,719.500,122.000
2,0.0000,720.000,122.500
2,0.0000,721.000,122.500
2,0.0000,722.000,124.000
2,0.0000,722.500,124.500
2,0.0000,723.500,125.000
2,0.0000,725.500,126.000
2,0.0000,727.000,127.500
2,0.0000,728.500,127.500
2,0.0000,729.500,129.000
2,0.0000,731.000,129.000
2,0.0000,732.000,130.500
2,0.0000,732.500,131.000
2,0.0000,733.000,131.000
2,0.0000,734.000,131.000
2,0.0000,734.500,131.000
2,0.0000,735.000,131.500
2,0.0000,735.000,132.000
2,0.0000,735.000,133.000
2,0.0000,735.500,135.500
2,0.0000,736.500,139.000
2,0.0000,737.000,142.500
2,0.0000,737.000,144.500
2,0.0000,737.000,146.000
2,0.0000,737.000,148.000
2,0.0000,737.000,150.000
2,0.0000,737.000,152.500
2,0.0000,737.000,154.000
2,0.0000,737.500,157.500
2,0.0000,739.000,162.000
2,0.0000,739.000,165.000
2,0.0000,740.000,170.000
2,0.0000,740.000,172.500
2,0.0000,740.000,176.500
2,0.0000,740.000,179.500
2,0.0000,740.500,182.500
2,0.0000,741.500,186.000
2,0.0000,742.000,188.000
2,0.0000,742.000,189.500
2,0.0000,742.500,191.500
2,0.0000,742.500,194.000
2,0.0000,744.000,196.500
2,0.0000,744.000,198.000
2,0.0000,744.500,203.000
2,0.0000,744.500,207.500
2,0.0000,745.000,209.500
2,0.0000,746.000,212.500
2,0.0000,746.000,216.000
2,0.0000,747.500,220.500
2,0.0000,748.000,223.500
2,0.0000,748.000,225.500
2,0.0000,748.000,228.000
2,0.0000,748.500,230.500
2,0.0000,749.000,232.000
2,0.0000,750.500,235.000
2,0.0000,750.500,235.500
2,0.0000,750.500,237.000
2,0.0000,751.000,238.500
2,0.0000,751.000,240.500
2,0.0000,752.500,243.000
2,0.0000,752.500,244.500
2,0.0000,753.000,246.000
2,0.0000,754.000,248.000
2,0.0000,754.500,249.500
2,0.0000,754.500,251.500
2,0.0000,755.000,253.500
2,0.0000,756.000,255.500
2,0.0000,756.000,256.000
2,0.0000,756.500,258.500
2,0.0000,757.000,260.000
2,0.0000,757.000,260.500
2,0.0000,758.500,261.500
3,0.0000,604.500,307.500
3,0.0000,604.000,307.000
3,0.0000,605.500,306.000
3,0.0000,609.000,306.000
3,0.0000,614.000,305.500
3,0.0000,621.000,304.000
3,0.0000,623.000,304.000
3,0.0000,628.500,302.500
3,0.0000,635.000,300.500
3,0.0000,635.500,300.000
3,0.0000,639.000,300.000
3,0.0000,641.000,299.500
3,0.0000,642.000,299.000
3,0.0000,643.000,299.000
3,0.0000,644.500,298.500
3,0.0000,646.500,297.500
3,0.0000,649.000,297.000
3,0.0000,650.000,297.000
3,0.0000,651.000,297.000
3,0.0000,652.000,296.500
3,0.0000,653.000,295.500
3,0.0000,654.500,294.500
3,0.0000,655.000,294.500
3,0.0000,655.500,294.500
3,0.0000,656.500,293.500
3,0.0000,657.000,293.500
3,0.0000,659.500,293.000
3,0.0000,660.500,293.000
3,0.0000,661.000,292.500
3,0.0000,661.500,292.500
3,0.0000,662.500,291.000
3,0.0000,664.000,291.000
3,0.0000,666.500,289.000
3,0.0000,667.000,289.000
3,0.0000,669.500,288.500
3,0.0000,671.000,288.500
3,0.0000,672.500,288.000
3,0.0000,674.000,288.000
3,0.0000,677.500,286.500
3,0.0000,678.000,286.500
3,0.0000,682.000,286.000
3,0.0000,684.000,285.000
3,0.0000,686.000,284.000
3,0.0000,687.500,284.000
3,0.0000,690.000,284.000
3,0.0000,693.500,283.000
3,0.0000,694.500,283.000
3,0.0000,696.500,282.500
3,0.0000,697.500,282.500
3,0.0000,699.500,282.000
3,0.0000,700.000,282.000
3,0.0000,701.500,282.000
3,0.0000,703.500,281.500
3,0.0000,704.500,281.500
3,0.0000,706.500,280.000
3,0.0000,707.500,280.000
3,0.0000,709.500,279.500
3,0.0000,712.500,278.000
3,0.0000,714.500,277.500
3,0.0000,716.500,277.000
3,0.0000,717.500,276.500
3,0.0000,719.500,275.500
3,0.0000,722.000,275.500
3,0.0000,723.000,275.000
3,0.0000,724.000,274.000
3,0.0000,725.000,274.000
3,0.0000,726.000,272.500
3,0.0000,726.500,272.000
3,0.0000,727.500,272.000
3,0.0000,728.500,271.500
3,0.0000,729.000,271.500
3,0.0000,730.500,271.000
3,0.0000,732.500,270.500
3,0.0000,733.500,270.000
3,0.0000,734.000,270.000
3,0.0000,734.500,270.000
3,0.0000,735.000,269.000
3,0.0000,736.000,269.000
3,0.0000,736.500,268.500
3,0.0000,737.000,268.500
3,0.0000,737.500,267.500
3,0.0000,738.000,267.500
3,0.0000,738.500,267.500
3,0.0000,739.000,267.000
3,0.0000,740.000,267.000
3,0.0000,740.500,266.500
3,0.0000,742.000,265.500
3,0.0000,742.500,265.500
3,0.0000,744.500,265.000
3,0.0000,745.000,264.500
3,0.0000,746.000,264.000
3,0.0000,747.500,263.500
3,0.0000,748.000,262.000
3,0.0000,748.500,262.000
3,0.0000,750.000,261.500
3,0.0000,752.000,260.500
3,0.0000,752.500,260.000
3,0.0000,753.000,259.500
3,0.0000,753.500,259.500
3,0.0000,754.000,259.500
3,0.0000,754.500,259.500
3,0.0000,755.000,259.500
3,0.0000,756.000,259.000
3,0.0000,757.000,259.000